Day,Date,Time_Hrs,Location,Miles,Vert_Ft_Day,Max_Ft_Hour,NegDay50,PosDay5
1,6/1/1996,6.9,Daicey Pond,12.4,4210,3100,-50,5
2,6/2/1996,11.4,Rainbow Lake,15.7,1860,1300,-49,4.9
3,6/3/1996,10.94,Wadleigh lt,15.3,1570,1400,-48,4.8
4,6/4/1996,6.21,Antlers,13.6,980,1200,-47,4.7
5,6/5/1996,11.3,E. Brch. Pleasant River,15.7,1870,1800,-46,4.6
6,6/6/1996,10.6,Gulf Haggas,16.3,3490,2100,-45,4.5
7,6/7/1996,11.5,Long Pond Stream,15.6,4350,2300,-44,4.4
8,6/8/1996,10.2,Monson ME,18.4,3030,4000,-43,4.3
9,6/11/1996,8.5,Moxie Bald,14.6,1620,2100,-42,4.2
10,6/12/1996,9.7,New LT,13.1,1250,2000,-41,4.1
11,6/13/1996,7.58,Caratunk ME,7,2470,2200,-40,4
12,6/14/1996,5.5,West Carry Pond,14,1730,1100,-39,3.9
13,6/15/1996,10.66,Horns Pond,17.5,5970,2400,-38,3.8
14,6/16/1996,1.71,Stratton,5.1,210,1100,-37,3.7
15,6/17/1996,8.2,Spaulding Mtn.,13.5,5380,2400,-36,3.6
16,6/18/1996,11,Piazza Rock,16.9,4320,2100,-35,3.5
17,6/19/1996,5.2,Sabbath,11.2,2050,1700,-34,3.4
18,6/20/1996,12.45,Hall,21.1,6790,2300,-33,3.3
19,6/21/1996,2,Andover,6,400,2200,-32,3.2
20,6/22/1996,5.11,Grafton,9.9,3880,2400,-31,3.1
21,6/23/1996,5.13,Full Goose,10.1,4650,3100,-30,3
22,6/24/1996,8,Trident,14.7,4420,2200,-29,2.9
23,6/25/1996,7,Gorham,9.8,1510,2400,-28,2.8
24,6/26/1996,5.1,Imp,7.6,3760,3000,-27,2.7
25,6/27/1996,4,Carter,7.3,2580,2900,-26,2.6
26,6/28/1996,4,Pinkham Notch,5.5,1500,3000,-25,2.5
27,6/30/1996,2.2,Osgood,4.3,1220,2700,-24,2.4
28,7/1/1996,8.51,Mizpah,14.7,5810,2700,-23,2.3
29,7/2/1996,10.53,Trail,21,5390,2400,-22,2.2
30,7/3/1996,8.46,Lonesome Lake,15.6,5030,4800,-21,2.1
31,7/4/1996,3,Eliza Brook,5.8,1960,2600,-20,2
32,7/5/1996,9,Webster Mtn.,18.1,5310,2700,-19,1.9
33,7/6/1996,11.93,Trapper John,25,6110,2500,-18,1.8
34,7/7/1996,7.75,Hanover NH,17,3500,2700,-17,1.7
35,7/9/1996,7,Thistle Hill,14.7,3630,2800,-16,1.6
36,7/10/1996,9.61,Stony Brook,21.3,5800,2100,-15,1.5
37,7/11/1996,12.18,Clarendon,24.7,5820,2600,-14,1.4
38,7/12/1996,9,Lost Pond,18.6,4050,2500,-13,1.3
39,7/13/1996,5,Manchester VT,15,2740,2600,-12,1.2
40,7/15/1996,1,Spruce Peak,2.2,650,9100,-11,1.1
41,7/16/1996,7.53,Story Spring,17.2,3370,2400,-10,1
42,7/17/1996,9.38,Cogdon Shelter,22.9,4500,2600,-9,0.9
43,7/18/1996,10.36,Mt. Greylock,20.5,5140,2700,-8,0.8
44,7/19/1996,9.28,Dalton,16.9,2220,2100,-7,0.7
45,7/20/1996,8,Upper Goose Pond,20,3470,2100,-6,0.6
46,7/21/1996,7.75,Tom Leonard,21,3990,2700,-5,0.5
47,7/22/1996,9.8,Bond,22.3,4770,2500,-4,0.4
48,7/23/1996,7,Pine Swamp,20.7,2900,2400,-3,0.3
49,7/24/1996,7.33,Lang's,17.9,3610,2500,-2,0.2
50,7/25/1996,8.76,Telephone,21.7,4540,4400,-1,0.1
51,7/26/1996,6.81,RPH Cabin,16.1,2410,2300,0,0
52,7/27/1996,7,Graymoor,19.4,3860,2000,0,0
53,7/28/1996,9,Fingerboard,20.1,4920,2200,0,0
54,7/29/1996,7.19,Wildcat,15.5,3310,2500,0,0
55,7/30/1996,6.63,Vernon,17.4,2240,1500,0,0
56,7/31/1996,9.45,Rutherford,24,3300,1800,0,0
57,8/1/1996,7.81,Brink,15.5,1980,1500,0,0
58,8/2/1996,9,DWG,24.7,3000,1500,0,0
59,8/3/1996,8.2,Smith shelter,19.7,2570,2300,0,0
60,8/4/1996,6.1,Palmerton PA,16,900,800,0,0
61,8/5/1996,7.36,Allentown Shelter,18.6,2670,2500,0,0
62,8/6/1996,9.83,Port Clinton,24.2,2556,2000,0,0
63,8/7/1996,8.75,501 Shelter,23,2600,3100,0,0
64,8/8/1996,8,Rausch Gap,17.9,1890,2000,0,0
65,8/9/1996,9.71,Clarks Ferry,24.7,2520,3000,0,0
66,8/10/1996,7.85,Darlington,16.2,2330,2200,0,0
67,8/11/1996,12.28,Alec Kennedy,19,1870,1900,0,0
68,8/12/1996,6,Pine Furnace,15.7,2450,1900,0,0
69,8/13/1996,12.73,Antetiem,30.2,4250,1800,0,0
70,8/14/1996,10.75,Pine Knob,23.3,4220,2300,0,0
71,8/15/1996,9.56,Harpers Ferry,23.3,3030,2000,0,0
72,8/17/1996,5,Blackburn,12.1,2220,2600,0,0
73,8/18/1996,7.5,Rod Hollow,17,4470,2400,0,0
74,8/19/1996,8.18,Denton,19,3840,2000,0,0
75,8/20/1996,7.4,Gravel Spring,18,4300,2000,0,0
76,8/21/1996,7.28,Pass Mountain,13,2850,2100,0,0
77,8/22/1996,11,Bear Fence,20.8,5360,2300,0,0
78,8/23/1996,8.5,Pinefield,21,4070,2400,0,0
79,8/24/1996,11.18,Calf Mountain,26.2,6310,2200,0,0
80,8/25/1996,2.4,Waynesboro,7,950,1200,0,0
81,8/26/1996,7.9,Rusty's,24,3620,5600,0,0
82,8/29/1996,10.5,Seely Woodward,20.8,7220,2700,0,0
83,8/30/1996,9.36,Punch Bowl,24,4540,2600,0,0
84,8/31/1996,5,Matt's Creek,14,2400,2200,0,0
85,9/1/1996,9.33,Bryant Ridge,23,6090,2500,0,0
86,9/2/1996,10.2,Full Hardt Knob,26,6170,2500,0,0
87,9/3/1996,10.6,Campbell,20,3930,3000,0,0
88,9/4/1996,6.52,Pickle Branch,16,3330,2600,0,0
89,9/5/1996,9.18,Laurel Creek,23,4860,2300,0,0
90,9/6/1996,5.61,Bailey Gap,14,3410,3300,0,0
91,9/7/1996,9.4,Pearisburg,23.5,3690,2500,0,0
92,9/8/1996,7.71,Wapiti,16,3560,2500,0,0
93,9/9/1996,9.21,Harver's Mill,23,3710,1800,0,0
94,9/10/1996,10.6,Chesnut Knob,25,5440,2500,0,0
95,9/11/1996,9,I-81 Motel,23,4410,2400,0,0
96,9/12/1996,9.7,Racoon Branch,24.5,5410,2200,0,0
97,9/13/1996,8.8,Thomas Knob,23.5,5070,2600,0,0
98,9/14/1996,10,Damascus,28,3490,1900,0,0
99,9/18/1996,3.33,Abbington,10,2620,2500,0,0
100,9/19/1996,11,Watagua Lake,29.2,4120,1800,0,0
101,9/20/1996,7.25,Moreland Gap,18,4960,2500,0,0
102,9/21/1996,9.18,Over Mountain,22,6380,2500,0,0
103,9/22/1996,9,Cherry Gap,20.1,5790,2700,0,0
104,9/23/1996,5.38,NCG Hostel,16.4,2460,2600,0,0
105,9/24/1996,7.15,Bald Mountain,15.8,5850,2500,0,0
106,9/25/1996,8.83,Flynt Mountain,19,5200,2000,0,0
107,9/26/1996,7.82,Spring Mountain,21,4660,2700,0,0
108,9/27/1996,3.16,Hot Springs,11,1530,9300,0,0
109,9/30/1996,6,Roaring Fork,15,4820,3900,0,0
110,10/1/1996,8.9,Davenport Gap,22,4520,2300,0,0
111,10/2/1996,8.68,Peck's Corner,20,6000,2500,0,0
112,10/3/1996,9.8,Siler's Bald,23,5010,2300,0,0
113,10/4/1996,11,Fontana Hilton,27.1,5250,2900,0,0
114,10/5/1996,1,Fontana Hostel,1.4,640,2100,0,0
115,10/6/1996,9.33,Sasafaras Gap,21.6,7330,2700,0,0
