Player,SALARY,Team,Position,Age,Contract,AVG,Games,FPCT,RF,AtBats,Runs,Hits,2B,3B,HomeRuns,RBI,Walks,SO,SB,CS,SLG
"Fuld, S","$725,000.00",TB,OF,32,0,0.199,118,0.922,1.09,176,25,35,0,3,2,17,17,28,8,2,0.267
"DeRosa, M","$750,000.00",TOR,2nd,37,0,0.235,88,0.981,2.52,204,23,48,12,1,7,36,28,49,0,0,0.407
"Santana, C","$750,000.00",CLE,C,27,1,0.268,154,0.995,5.76,541,75,145,39,1,20,74,93,110,3,1,0.455
"Overbay, L","$850,000.00",NYY,1st,36,0,0.24,142,0.996,7.44,445,43,107,24,1,14,59,36,111,2,0,0.393
"Kelly, D","$900,000.00",DET,OF,33,0,0.222,112,0.985,1.07,216,33,48,6,1,6,23,27,28,2,0,0.343
"Perez, S","$1,000,000.00",KC,C,23,1,0.292,138,0.992,7.27,496,48,145,25,3,13,79,21,63,0,0,0.433
"Rodriguez, S","$1,000,000.00",TB,OF,28,0,0.246,96,0.995,2.21,195,21,48,10,1,5,23,17,59,1,3,0.385
"Molina, J","$1,500,000.00",TB,C,38,0,0.233,99,0.994,7.3,283,26,66,14,0,2,18,22,63,2,1,0.304
"Moss, B","$1,600,000.00",OAK,1st,30,0,0.256,145,0.99,5.05,446,73,114,23,3,30,87,50,140,4,2,0.522
"Loney, J","$2,000,000.00",TB,1st,29,0,0.299,158,0.995,8.45,549,54,164,33,0,13,75,44,77,3,1,0.43
"Hafner, T","$2,000,000.00",NYY,DH,36,0,0.202,82,,,262,31,53,8,1,12,37,32,79,2,0,0.378
"McLouth, N","$2,000,000.00",BAL,OF,32,0,0.258,146,0.996,1.83,531,76,137,31,4,12,36,53,86,30,7,0.399
"Iglesias, J","$2,062,500.00",DET,SS,23,1,0.303,109,0.983,3.11,350,39,106,16,2,3,29,15,60,5,2,0.386
"De Aza, A","$2,075,000.00",CWS,OF,29,0,0.264,153,0.979,1.99,607,84,160,27,4,17,62,50,147,20,8,0.405
"Santiago, R","$2,100,000.00",DET,2nd,34,0,0.224,80,0.992,2.74,205,27,46,8,1,1,14,21,32,0,1,0.288
"Aviles, M","$2,250,000.00",CLE,3rd,32,1,0.252,124,0.975,2.5,361,54,91,15,0,9,46,15,41,8,5,0.368
"Lowrie, J","$2,400,000.00",OAK,SS,29,0,0.29,154,0.963,3.06,603,80,175,45,2,15,75,50,91,1,0,0.446
"Joyce, M","$2,450,000.00",TB,OF,29,0,0.235,140,0.994,1.28,413,61,97,22,0,18,47,59,87,7,3,0.419
"Johnson, K","$2,450,000.00",TB,OF,31,0,0.235,118,0.981,1.84,366,41,86,12,2,16,52,35,99,7,4,0.41
"Davis, R","$2,500,000.00",TOR,OF,33,0,0.26,108,0.989,1.53,331,49,86,16,2,6,24,21,67,45,6,0.375
"Longoria, E","$2,500,018.00",TB,3rd,28,1,0.269,160,0.972,2.33,614,91,165,39,3,32,88,70,162,1,0,0.498
"Bonifacio, E","$2,600,000.00",KC,2nd,28,0,0.243,136,0.978,3.23,420,54,102,22,3,3,31,30,103,28,8,0.331
"Ackley, D","$2,700,000.00",SEA,OF,24,1,0.253,113,0.997,3.12,384,40,97,18,2,4,31,37,72,2,3,0.341
"Scott, L","$2,750,000.00",TB,DH,35,0,0.241,91,,,253,27,61,13,2,9,40,30,63,1,1,0.415
"Ibanez, R","$2,750,000.00",SEA,OF,41,0,0.242,124,0.977,1.43,454,54,110,20,2,29,65,42,128,0,0,0.487
"Viciedo, D","$2,800,000.00",CWS,OF,24,0,0.265,124,0.97,1.3,441,43,117,23,3,14,56,24,98,0,0,0.426
"Stubbs, D","$2,825,000.00",CLE,OF,29,0,0.233,146,0.978,1.77,430,59,100,21,2,10,45,44,141,17,2,0.36
"Gardner, B","$2,850,000.00",NYY,OF,30,0,0.273,145,0.991,2.39,539,81,147,33,10,8,52,52,127,24,8,0.416
"Pena, C","$2,900,000.00",KC,1st,35,0,0.207,89,1,5.17,280,38,58,13,1,8,25,43,92,1,3,0.346
"Beckham, G","$2,925,000.00",CWS,2nd,27,0,0.267,103,0.975,4.47,371,46,99,22,1,5,24,28,56,5,1,0.372
"Avila, A","$2,950,000.00",DET,C,26,0,0.227,102,0.883,8.61,330,39,75,14,1,11,47,44,112,0,0,0.376
"Izturis, M","$3,000,000.00",TOR,2nd,33,1,0.236,107,0.971,2.67,365,33,86,12,0,5,32,27,38,1,5,0.31
"Escobar, A","$3,000,000.00",KC,SS,26,1,0.234,158,0.979,3.91,607,57,142,20,4,4,52,19,84,22,0,0.3
"Martin, L","$3,250,000.00",TEX,OF,35,1,0.26,147,0.985,2.14,457,66,119,21,6,8,49,28,104,36,9,0.385
"Ryan, B","$3,250,000.00",NYY,SS,31,0,0.197,104,0.972,4,319,30,63,12,0,4,22,23,73,4,2,0.273
"Davis, C","$3,300,000.00",BAL,1st,27,0,0.286,160,0.996,8.84,584,103,167,42,1,53,138,72,199,4,1,0.634
"Keppinger, J","$3,500,000.00",CWS,2nd,33,1,0.253,117,0.988,3.39,423,38,107,13,1,4,40,20,41,0,1,0.317
"Doumit, R","$3,500,000.00",MIN,C,32,0,0.247,135,0.99,2.51,485,49,120,28,1,14,55,48,99,1,0,0.396
"Jackson, A","$3,500,000.00",DET,OF,26,0,0.272,129,0.993,2.36,552,99,150,30,7,12,49,52,129,8,4,0.417
"Smith, S","$3,675,000.00",OAK,OF,31,0,0.253,117,1,1.1,368,49,93,27,0,8,40,39,94,0,0,0.391
"Infante, O","$4,000,000.00",DET,2nd,31,0,0.318,118,0.98,4.23,453,54,144,24,3,10,51,20,44,5,2,0.45
"Callaspo, A","$4,100,000.00",OAK,2nd,30,1,0.258,136,0.952,2.34,453,52,117,20,0,10,58,53,47,0,2,0.369
"Saltalamacchia, J","$4,500,000.00",BOS,C,28,0,0.273,121,0.988,3.39,425,68,116,40,0,14,65,43,139,4,1,0.466
"Rasmus, C","$4,675,000.00",TOR,OF,27,0,0.276,118,0.987,2.71,417,57,115,26,1,22,66,37,135,0,1,0.501
"Napoli, M","$5,000,000.00",BOS,1st,32,0,0.259,139,0.994,7.65,498,79,129,38,2,23,92,73,187,1,1,0.482
"Gomes, J","$5,000,000.00",BOS,OF,33,1,0.247,116,0.992,1.12,312,49,77,17,0,13,52,43,89,1,0,0.426
"Escobar, Y","$5,000,000.00",TB,SS,31,1,0.256,153,0.989,3.94,508,61,130,27,1,9,56,57,73,4,4,0.366
"Iannetta, C","$5,050,000.00",LAA,C,30,1,0.225,115,0.994,6.87,325,40,73,15,0,11,39,68,100,0,1,0.372
"Andrus, E","$5,050,000.00",TEX,SS,25,1,0.271,156,0.976,3.68,620,91,168,17,4,4,67,52,97,42,8,0.331
"Lind, A","$5,150,000.00",TOR,1st,30,1,0.288,143,0.989,5,465,67,134,26,1,23,67,51,103,1,0,0.497
"Morales, K","$5,250,000.00",SEA,1st,30,0,0.277,156,0.997,2.01,602,64,167,34,0,23,80,49,114,0,0,0.449
"Wieters, M","$5,500,000.00",BAL,C,27,0,0.235,148,0.997,7.44,523,59,123,29,0,22,79,43,104,2,0,0.417
"Zobrist, B","$5,687,300.00",TB,2nd,32,1,0.275,157,0.992,3.39,612,77,168,36,3,12,71,72,91,11,3,0.402
"Murphy, D","$5,775,000.00",TEX,OF,32,0,0.22,142,0.99,1.5,436,51,96,26,1,13,45,37,59,1,4,0.374
"Reynolds, M","$6,000,000.00",NYY,1st,30,0,0.22,135,0.983,7.65,445,55,98,14,0,21,67,51,154,3,1,0.393
"Peralta, J","$6,000,000.00",DET,SS,30,0,0.303,107,0.991,4,409,50,124,30,0,11,55,35,98,3,3,0.457
"Suzuki, I","$6,500,000.00",NYY,OF,40,1,0.262,150,0.989,1.7,520,57,136,15,3,7,35,26,63,20,4,0.342
"Cabrera, A","$6,500,000.00",CLE,SS,28,1,0.242,136,0.982,3.69,508,66,123,35,2,14,64,35,114,9,3,0.402
"Crisp, C","$7,000,000.00",OAK,OF,34,1,0.261,131,1,2.38,513,93,134,22,3,22,66,61,65,21,5,0.444
"Bourn, M","$7,000,000.00",CLE,OF,30,1,0.263,130,0.989,2.16,525,75,138,21,6,6,50,40,132,23,12,0.36
"Morse, M","$7,000,000.00",BAL,OF,31,0,0.215,88,0.995,2.07,312,34,67,13,0,13,27,21,87,0,0,0.381
"Willingham, J","$7,000,000.00",MIN,OF,34,1,0.208,111,0.992,1.21,389,42,81,20,0,14,48,66,128,1,0,0.368
"Ramirez, A","$7,000,000.00",CWS,SS,32,1,0.284,158,0.968,4.23,637,68,181,39,2,6,48,26,68,30,9,0.38
"Hardy, J","$7,416,667.00",BAL,SS,31,1,0.263,159,0.981,3.98,601,66,158,27,0,25,76,38,73,2,1,0.433
"Pierzynski, A","$7,500,000.00",TEX,C,36,0,0.272,134,0.998,7.31,503,48,137,24,1,17,70,11,76,1,1,0.425
"Encarnacion, E","$8,000,000.00",TOR,1st,30,1,0.272,142,0.99,5.35,530,90,144,29,1,36,104,82,62,7,1,0.534
"Cabrera, M","$8,000,000.00",TOR,OF,29,1,0.279,88,0.992,1.5,344,39,96,15,2,3,30,23,47,2,2,0.36
"Butler, B","$8,500,000.00",KC,DH,27,1,0.289,162,,,582,62,168,27,0,15,82,79,102,0,0,0.412
"Cespedes, Y","$8,500,000.00",OAK,OF,28,1,0.24,135,0.983,1.7,529,74,127,21,4,26,80,37,137,7,7,0.442
"Young, C","$8,700,000.00",OAK,OF,30,0,0.2,107,0.992,2.24,335,46,67,18,3,12,40,36,93,10,3,0.379
"Aybar, E","$8,750,000.00",LAA,SS,29,1,0.271,138,0.973,3.95,550,68,149,33,5,6,54,23,59,12,7,0.382
"Jones, A","$8,833,333.00",BAL,OF,28,1,0.285,160,0.995,2.27,653,100,186,35,1,33,108,25,136,14,3,0.493
"Ellsbury, J","$9,000,000.00",BOS,OF,30,0,0.298,134,0.992,2.61,577,92,172,31,8,9,53,47,92,52,4,0.426
"Gordon, A","$9,000,000.00",KC,OF,29,1,0.265,156,0.997,2.19,633,90,168,27,6,20,81,52,141,11,3,0.422
"Nix, J","$9,000,000.00",NYY,SS,31,0,0.236,87,0.976,3.12,267,32,63,9,1,3,24,24,80,13,1,0.311
"Kendrick, H","$9,100,000.00",LAA,2nd,30,1,0.297,122,0.982,4.43,478,55,142,21,4,13,54,23,89,6,3,0.439
"Reyes, J","$10,000,000.00",TOR,SS,30,1,0.296,93,0.974,3.64,382,58,113,20,0,10,37,34,47,15,6,0.427
"Pedroia, D","$10,250,000.00",BOS,2nd,30,1,0.301,160,0.993,4.27,641,91,193,42,2,9,84,73,75,17,5,0.415
"Cruz, N","$10,250,000.00",TEX,OF,33,0,0.266,109,0.985,1.8,413,49,110,18,0,27,76,35,109,5,1,0.506
"Swisher, N","$11,000,000.00",CLE,1st,32,1,0.246,145,0.991,6.04,549,74,135,27,2,22,63,77,138,1,0,0.423
"Hunter, T","$12,000,000.00",DET,OF,38,1,0.304,144,0.987,1.62,606,90,184,37,5,17,84,26,113,3,2,0.465
"Konerko, P","$12,501,506.00",CWS,1st,37,0,0.244,126,0.994,5.14,467,41,114,16,0,12,54,45,74,0,0,0.355
"Kinsler, I","$13,000,000.00",TEX,2nd,30,1,0.277,136,0.978,4.31,545,85,151,31,2,13,72,51,59,15,11,0.413
"Martinez, V","$13,000,000.00",DET,DH,34,1,0.301,159,,,605,68,182,36,0,14,83,54,62,0,2,0.43
"Rios, A","$13,000,000.00",TEX,OF,32,1,0.278,156,0.991,2.15,616,83,171,33,4,18,81,41,108,42,7,0.432
"Victorino, S","$13,000,000.00",BOS,OF,32,1,0.294,122,0.99,2.45,477,82,140,26,2,15,61,25,75,21,3,0.451
"Bautista, J","$14,000,000.00",TOR,OF,33,1,0.259,118,0.976,1.7,452,82,117,24,0,28,73,69,84,7,2,0.498
"Ortiz, D","$14,500,000.00",BOS,DH,38,1,0.309,137,1,0.27,518,84,160,38,2,30,103,76,88,4,0,0.564
"Morneau, J","$15,000,000.00",MIN,1st,31,0,0.259,127,0.997,8.75,495,56,128,32,0,17,74,37,98,0,0,0.426
"Dunn, A","$15,000,000.00",CWS,1st,34,1,0.219,149,0.986,3.95,525,60,115,15,0,34,86,76,189,1,1,0.442
"Cano, R","$15,000,000.00",NYY,2nd,31,0,0.314,160,0.881,4.07,605,81,190,41,0,27,107,65,85,7,1,0.516
