Prob_Take_Class,Height_cm,Gender
1,178,F
1,163,F
0.99,168,F
0.9,167,F
0.5,170,F
0.95,150,F
0.99,157,F
0.5,175,M
0.98,173,F
0.9,185,M
0.95,160,F
0.9999,162,F
0.75,170,F
0.65,163,F
1,168,F
1,180,F
1,175,M
1,178,M
0.95,175,M
1,157,F
1,166,F
1,178,M
1,173,F
0.95,168,F
0.9,158,F
0.9,168,F
*,152,F
*,165,F
1,157,F
0.9,173,M
0.99,163,F
1,201,M
0.3,178,M
0.95,175,M
1,160,F
0.5,168,M
7,178,M
1,167,M
1,183,M
0.5,165,F
1,165,F
0.9,170,F
1,170,F
0.5,170,F
0.8,175,F
0.7,163,F
0.5,155,F
0.5,185,M
0.9,191,M
1,165,F
0.95,178,M
*,183,M
1,170,M
0.37,170,F
0.9,165,F
1,178,M
0.7,191,M
1,185,M
0.9,173,F
0.3,157,F
0.99975,163,F
1,164,F
