Country,No_Point_Helping,Air_Pollution_Industry,Global_Warming_Effect,Gender,Age,Marital_Status,Class,Political_Views,Location
USA-United States,1,1,1,Female,34,"Separated,but married",Upper class,"Left,center left","Rural,RP:total rur"
USA-United States,5,3,,Female,44,Divorced,Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,2,1,3,Female,78,Widowed,Lower class,"Left,center left","Rural,RP:total rur"
USA-United States,4,3,,Female,84,Widowed,Lower class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,3,3,Female,75,"Marr,liv as mar",Lower class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,2,5,Female,67,Widowed,Lower class,"Right,conservative","Rural,RP:total rur"
USA-United States,,,,Female,89,Widowed,Working class,"Left,center left","Rural,RP:total rur"
USA-United States,3,,,Female,59,Widowed,Working class,"Left,center left","Rural,RP:total rur"
USA-United States,3,3,3,Female,64,Widowed,Middle class,"Left,center left","Rural,RP:total rur"
USA-United States,4,4,2,Female,37,Divorced,Lower class,"Left,center left","Rural,RP:total rur"
USA-United States,4,3,2,Female,44,"Single,never married",Middle class,"Center,liberal","Rural,RP:total rur"
USA-United States,2,3,3,Female,55,Divorced,Working class,"Left,center left","Rural,RP:total rur"
USA-United States,3,2,3,Female,81,Widowed,Lower class,"Left,center left","Rural,RP:total rur"
USA-United States,4,1,1,Female,68,"Marr,liv as mar",Middle class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,2,4,Female,75,Widowed,Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,4,1,,Female,87,Widowed,Middle class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,3,,Female,62,Divorced,Working class,"Right,conservative","Rural,RP:total rur"
USA-United States,,3,3,Female,41,"Separated,but married",Working class,"Left,center left","Rural,RP:total rur"
USA-United States,3,3,3,Female,69,"Marr,liv as mar",Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,1,2,1,Female,20,"Single,never married",Middle class,"Center,liberal","Rural,RP:total rur"
USA-United States,4,3,3,Female,22,"Single,never married",Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,3,,Female,49,"Single,never married",Middle class,"Right,conservative","Rural,RP:total rur"
USA-United States,,2,,Female,79,Widowed,Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,4,2,3,Female,27,"Separated,but married",Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,3,3,3,Female,34,Divorced,Lower class,"Center,liberal","Rural,RP:total rur"
USA-United States,,3,4,Female,77,Widowed,Middle class,"Left,center left","Rural,RP:total rur"
USA-United States,,,,Female,60,Widowed,Working class,"Right,conservative","Rural,RP:total rur"
USA-United States,2,3,1,Female,22,"Marr,liv as mar",Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,5,1,2,Female,23,Divorced,Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,4,3,3,Female,37,Divorced,Lower class,"Center,liberal","Rural,RP:total rur"
USA-United States,,1,1,Female,74,"Marr,liv as mar",Middle class,"Left,center left","Rural,RP:total rur"
USA-United States,4,3,3,Female,71,Widowed,Lower class,"Right,conservative","Rural,RP:total rur"
USA-United States,4,2,3,Female,20,"Single,never married",Lower class,"Center,liberal","Rural,RP:total rur"
USA-United States,4,3,3,Female,84,Widowed,Working class,"Left,center left","Rural,RP:total rur"
USA-United States,3,3,4,Female,80,Widowed,Working class,"Center,liberal","Rural,RP:total rur"
USA-United States,,,,Female,89,Widowed,Working class,"Right,conservative","Rural,RP:total rur"
USA-United States,3,2,2,Female,84,Widowed,Middle class,"Right,conservative","Rural,RP:total rur"
USA-United States,2,2,5,Female,81,Widowed,Middle class,"Left,center left","Rural,RP:total rur"
USA-United States,4,3,,Female,72,Widowed,Middle class,"Right,conservative","Rural,RP:total rur"
USA-United States,4,2,,Female,73,Widowed,Working class,"Left,center left","Rural,RP:total rur"
NL-Netherlands,5,2,2,Female,44,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,2,1,4,Female,78,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,3,2,Female,32,"Single,never married",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,2,2,1,Female,26,"Single,never married",,"Left,center left","Rural,RP:total rur"
NL-Netherlands,4,2,4,Female,28,"Single,never married",,Far left etc,"Rural,RP:total rur"
NL-Netherlands,4,2,3,Female,51,"Marr,liv as mar",,"No party,no preference","Rural,RP:total rur"
NL-Netherlands,4,1,2,Female,73,Widowed,,,"Rural,RP:total rur"
NL-Netherlands,3,,4,Female,35,"Marr,liv as mar",,,"Rural,RP:total rur"
NL-Netherlands,4,3,3,Female,62,Divorced,,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,3,,Female,68,"Marr,liv as mar",,"Right,conservative","Rural,RP:total rur"
NL-Netherlands,4,,3,Female,39,"Marr,liv as mar",,,"Rural,RP:total rur"
