Year,Killed,Law,Boats,Population Estimate
1977,13,0,417,732
1978,21,0,429,785
1979,24,0,491,841
1980,16,0,506,900
1981,24,0,516,963
1982,20,0,526,1030
1983,15,0,558,1100
1984,34,0,585,1175
1985,33,0,613,1255
1986,33,0,644,1339
1987,39,0,675,1428
1988,43,0,718,1522
1989,49,0,710,1621
1990,47,0,716,1726
1991,53,0,715,1837
1992,38,1,710,1954
1993,34,1,729,2077
1994,47,1,747,2207
1995,42,1,765,2343
1996,60,1,788,2487
1997,54,1,803,2638
1998,66,1,823,2797
1999,82,1,805,2951
2000,78,1,841,3549
2001,81,1,903,3398
2002,95,1,923,3758
2003,73,1,940,3387
2004,69,1,946,4034
2005,79,1,974,4088
2006,92,1,989,4234
2007,73,1,992,4312
2008,90,1,976,4633
2009,97,1,949,5688
2010,83,1,915,6399
2011,88,1,890,6879
2012,82,1,870,6763
2013,73,1,871,6758
2014,69,1,874,7334
2015,86,1,889,7997
2016,104,1,905,8835
2017,111,1,941,8867
2018,124,1,925,8626
2019,137,1,959,8398
