Grapes,Motivation,Score
1 grape,1 hour deprived,1
1 grape,1 hour deprived,4
1 grape,1 hour deprived,0
1 grape,1 hour deprived,7
3 grapes,1 hour deprived,13
3 grapes,1 hour deprived,5
3 grapes,1 hour deprived,7
3 grapes,1 hour deprived,15
5 grapes,1 hour deprived,9
5 grapes,1 hour deprived,16
5 grapes,1 hour deprived,18
5 grapes,1 hour deprived,13
1 grape,24 hours deprived,15
1 grape,24 hours deprived,6
1 grape,24 hours deprived,10
1 grape,24 hours deprived,13
3 grapes,24 hours deprived,6
3 grapes,24 hours deprived,18
3 grapes,24 hours deprived,9
3 grapes,24 hours deprived,15
5 grapes,24 hours deprived,14
5 grapes,24 hours deprived,7
5 grapes,24 hours deprived,6
5 grapes,24 hours deprived,13
