COUNTRY_NAME,Agricult,illitfem,illitmal,imports,exports,gnipc,inflat,deforest,urban,fertilit,mortalit,popgrow,lifexp
Papua New Guinea,27.45,43.22,29.43,43.45,46.57,670,10.83,0.36,17.39,4.42,56.08,2.45,58.59
Namibia,10.74,18.85,17.17,56.18,48.97,2030,9.48,0.87,30.87,5,62.48,2.23,47.15
Azerbaijan,18.87,3,3,38.38,40.72,600,12.37,-1.27,51.9,2,12.8,0.82,71.75
Belarus,15.32,0.56,0.26,69.34,67.81,1280,185.03,-3.23,69.43,1.3,11.3,-0.3,68.11
Georgia,21.39,2,0,40.15,23.27,630,3.32,0,56.29,1.08,17.33,0,73.03
Greece,7.92,4.05,1.49,28.58,20.16,11960,3.45,-0.87,60.1,1.32,5.4,0.21,77.91
Swaziland,16.8,21.36,19.24,78.12,63.42,1370,12.53,-1.18,26.37,4.4,88.74,2.47,45.62
Tajikistan,19.37,1.17,0.42,84.65,80.72,180,24.04,-0.51,27.61,3.12,20.6,0.23,68.77
Albania,51.04,23.02,7.87,40.39,18.89,1120,-1.19,0.75,42.3,2.14,20.2,0.82,73.99
Armenia,25.4,2.36,0.73,50.76,23.35,520,-1.34,-1.28,67.2,1.28,14.6,0.05,73.63
Australia,3.19,0,0,22.31,19.91,20240,4.47,0,90.72,1.75,5.27,1.13,78.93
Austria,2.23,0,0,45.58,45.09,25220,1.1,-0.2,67.28,1.34,4.8,0.22,78.23
Belgium,1.52,0,0,84.65,88.05,24540,1.22,0.2,97.33,1.61,5.25,0.25,78.21
Botswana,3.62,20.23,25.49,33.06,27.52,3650,7.15,0.91,49.03,4.03,58.12,0.87,38.97
Bulgaria,14.51,2.1,1.03,64.06,58.47,1520,5.63,-0.57,67.46,1.27,13.33,-0.5,71.55
Burundi,50.71,59.59,43.8,23.91,9.16,110,22.59,8.99,8.96,5.97,102.2,1.91,41.96
Canada,2.54,0,0,40.78,43.72,21130,3.64,0,78.7,1.55,5.2,0.84,78.93
Cape Verde,11.79,34.28,15.46,61.67,23.38,1330,0.29,-9.28,62.21,3.66,37.2,3.04,68.78
Chad,39.2,65.98,48.43,32.04,16.57,200,3.38,0.62,23.79,6.38,101.2,2.75,48.47
Cote d'Ivoire,24.18,61.37,45.5,33.09,39.78,680,-0.18,3.11,43.61,4.81,110.8,2.7,45.82
Croatia,9.5,2.7,,50.63,45.01,4620,6.45,-0.11,57.72,1.39,7.5,0.13,73.28
Czech Republic,4.07,0,0,75.15,71.46,5250,0.86,-0.02,74.5,1.15,4.1,-0.05,74.82
Denmark,2.71,0,0,37.03,42.44,32280,3.67,-0.22,85.1,1.74,4.3,0.32,76.36
Dominican Republic,11.15,16.36,16.38,39.5,29.93,2120,7.82,0,65.39,2.71,38.9,1.62,67.33
Equatorial Guinea,7.02,25.56,7.47,173.78,101.75,710,52.17,0.59,48.21,5.66,101.76,2.65,50.98
Finland,3.6,0,0,32.38,42.46,25130,2.87,-0.04,58.97,1.74,4.2,0.23,77.46
France,2.92,0,0,27.25,28.66,23810,0.92,-0.41,75.37,1.89,4.4,0.46,78.86
French Polynesia,4.71,2,2,24.23,4.9,17290,0.96,0,52.7,2.64,10.04,1.54,72.96
Germany,1.22,0,0,32.97,33.36,25120,-0.39,0,87.54,1.35,4.47,0.08,77.43
Guinea-Bissau,58.79,76.68,45.61,58.23,31.76,180,3.31,0.94,31.55,5.75,125.66,2.16,44.88
Haiti,28.41,52.17,48.03,27.39,12.5,510,14.63,5.68,35.69,4.35,72.92,1.98,53.23
Israel,4,7.59,3.18,46.94,39.99,16710,1.71,-4.88,91.64,2.84,5.53,2.08,78.37
Kuwait,1,20.33,16,31.18,57.21,18030,25.58,-5.24,96.01,2.67,9.43,3.07,76.58
Latvia,4.48,0.21,0.2,54.26,45.75,2920,4.14,-0.45,60.44,1.16,9.9,-1.59,70.38
Lesotho,16.91,6.42,27.5,88.35,28.46,580,8.55,0,27.96,4.39,91.02,1.32,43.96
Lithuania,7.62,0.51,0.35,51.56,45.16,2930,2.13,-0.24,68.51,1.27,8.6,-0.11,72.62
Malaysia,8.58,16.57,8.57,105.53,125.49,3370,4.75,1.16,57.42,3.01,7.9,2.44,72.54
Poland,3.82,0.28,0.25,34.49,27.47,4190,7.07,-0.12,62.35,1.4,8.6,-0.01,73.28
Russian Federation,6.44,0.58,0.29,24.06,44.51,1690,40.54,-0.02,72.9,1.21,16.2,-0.52,65.34
Rwanda,43.66,39.77,26.35,24.05,8.31,230,2.11,3.9,6.15,5.87,122.74,2.35,39.94
Seychelles,2.99,40,45,86.38,78.38,7050,5.78,0,63.81,2.09,8.75,1.49,72.34
Slovenia,3.32,0.39,0.32,62.68,59.13,10070,5.74,-0.2,49.19,1.22,4.57,0.13,75.26
Trinidad and Tobago,1.62,7.94,4.47,45.16,62.09,5160,5.7,0.81,74.08,1.75,16.02,0.64,72.55
Tunisia,12.28,39.4,18.61,47.56,44.01,2100,2.42,-0.22,65.52,2.08,25.8,1.13,72.1
Ukraine,13.85,0.51,0.25,57.95,62.45,690,23.23,-0.33,67.9,1.22,12.8,-0.81,68.29
Uzbekistan,34.13,1.16,0.41,21.52,24.59,620,47.06,-0.24,36.74,2.6,21.53,1.43,69.74
Algeria,8.58,42.94,23.82,21.97,42.36,1580,23.65,-1.33,57.15,3.24,33.32,1.49,71.04
Argentina,4.78,3.18,3.15,11.45,10.81,7480,0.77,0.79,88.2,2.51,17.4,1.23,73.85
Bangladesh,24.62,70.14,47.69,19.23,13.98,370,1.86,-1.33,25,3.13,60,1.74,61.19
Barbados,6.27,0.3,0.3,56.02,50.66,9250,0.82,0,49.98,1.75,16.7,0.35,75.42
Belize,23.03,6.84,6.72,67.7,49.76,2890,1.08,2.32,48,3.13,30.8,3.35,74.12
Benin,38,76.42,47.89,28.94,15.39,370,1.69,2.31,42.26,5.5,87.16,2.62,52.99
Bhutan,33.25,57.8,57.8,59.86,29.61,590,8.74,0,7.14,5.36,57.6,2.93,62.22
Bolivia,21.97,20.72,7.99,25.09,17.55,990,3.75,0.3,62.35,3.93,57.2,2.32,62.56
Brazil,7.69,14.65,14.87,12.42,10.81,3590,8.23,0.41,81.15,2.2,31.7,1.29,68.07
Burkina Faso,34.53,85.92,66.07,29.62,10.73,210,0.65,0.21,16.52,6.5,104.4,2.5,44.22
Cambodia,37.13,42.89,20.22,46.93,40.11,260,1.5,0.58,16.91,4,88.4,2.23,53.81
Cameroon,43.83,30.54,17.63,26.84,30.73,580,3.46,0.89,48.92,4.8,75.82,2.16,50.05
Central African Republic,54.63,65.09,40.27,16.05,13.01,280,3.29,0.13,41.19,4.72,96.02,1.37,43.47
Chile,10.52,4.38,4,30.79,31.85,4590,4.05,0.13,85.79,2.16,10.07,1.28,75.65
China,15.9,23.72,8.35,23.21,25.89,840,0.92,-1.18,35.79,1.9,32,0.9,70.26
Colombia,13.49,8.28,8.32,19.94,21.34,2030,13.63,0.38,74.97,2.55,19.5,1.81,71.59
Comoros,40.5,51.3,36.81,31.57,25.39,380,7.11,3.97,33.23,4.27,60,2.49,60.97
"Congo, Rep.",5.3,25.57,12.55,41.83,78.58,570,46.37,0.08,65.39,5.97,68.4,2.83,51.32
Costa Rica,9.55,4.34,4.48,45.78,48.09,3830,6.54,0.77,59.01,2.5,10.2,2.12,77.48
Cyprus,6,4.56,1.25,48.42,44.59,12370,2.87,0,69.94,1.91,6.13,0.4,77.93
Djibouti,3.72,45.61,24.39,62.8,44.58,880,2.4,0,83.97,5.32,115.2,1.99,45.81
Ecuador,9.98,10.05,6.72,30.8,42.43,1190,105.93,1.21,63,3.03,27.6,1.87,69.59
"Egypt, Arab Rep.",16.61,56.2,33.38,22.73,16.14,1490,5.82,-3.36,42.68,3.28,41.75,1.9,67.46
El Salvador,10.13,23.89,18.41,42.71,27.59,2000,3.92,4.56,60.31,3.1,29.12,1.97,70.15
Eritrea,17.12,55.5,32.65,85.89,15.67,180,19.15,0.33,18.73,5.45,59.6,2.62,52.03
Estonia,5.99,0.2,0.2,88.49,83.67,3580,5.29,-0.63,69.39,1.24,8.4,-1.28,70.6
Ethiopia,52.33,69.06,52.81,30.68,15.4,100,1.44,0.84,15.52,5.65,98.02,2.39,42.29
Fiji,17.78,9.18,5.11,62.85,68.72,2160,-1.61,0.21,49.44,2.76,13.5,1.35,69.22
"Gambia, The",37.94,70.59,55.99,61.04,47.87,340,3.72,-0.99,30.66,4.96,73.2,3.14,53.28
Ghana,35.3,37.08,19.66,69.59,49.19,330,27.23,1.72,36.07,4.2,58.18,2.29,56.87
Grenada,7.83,2,2,74.83,58,3830,-4.99,0,37.91,3.24,12.8,1.03,72.49
Guatemala,22.83,38.84,23.87,27.76,19.93,1700,5.69,1.71,39.66,4.58,38.8,2.64,65.22
Guinea,24.01,76.5,45.9,31.44,25.83,450,8.36,0.49,27.5,5.22,95,2.24,46.31
Guyana,31.09,1.91,1.08,110.66,96.05,860,6.6,0.28,36.29,2.37,53.6,0.61,62.89
Honduras,17.75,25.48,25.31,56.44,42.4,860,8.66,1.03,52.74,3.92,34.6,2.5,66
Hungary,5.7,0.81,0.53,66.65,62.54,4710,7.48,-0.4,64.55,1.29,9.2,-0.46,71.25
India,24.89,54.61,31.64,16.56,13.95,450,4.13,-0.06,27.66,3.06,69.2,1.83,62.8
Indonesia,17.03,18,8.18,31.75,42.35,570,11.13,1.17,40.99,2.49,40.88,1.63,66.03
"Iran, Islamic Rep.",18.9,30.71,16.8,19,32.05,1650,32.25,0,64.02,2.62,33.2,1.42,69.08
Italy,2.9,1.97,1.13,27.23,28.36,20160,2.25,-0.3,66.94,1.23,5.35,0.08,78.67
Jamaica,6.31,9.31,17.1,53.66,42.94,2760,10.85,1.53,56.09,2.46,19.6,1.65,75.34
Japan,1.49,0,0,8.44,9.98,35620,-0.59,-0.01,78.75,1.4,3.8,0.17,80.72
Jordan,2.25,16.14,4.93,67.68,41.82,1720,-0.09,0,78.7,3.66,25.33,3.05,71.52
Kenya,19.94,23.98,11.11,35.63,26.49,350,6.82,0.53,33.37,4.42,77.72,2.27,46.97
"Korea, Rep.",4.7,3.6,0.86,41.74,44.79,8960,-1.1,0.08,81.88,1.43,8.16,0.89,73.15
Lao PDR,52.87,66.78,35.88,47.62,36.3,290,23.91,0.41,19.28,5,91.6,2.33,53.72
Lebanon,11.92,19.65,7.86,37.77,12.98,4010,-0.36,0.27,89.74,2.33,25.54,1.32,70.4
Madagascar,34.88,40.33,26.44,34.78,24.64,250,7.1,0.95,29.49,5.44,88,3.09,54.66
Malawi,41.56,53.49,25.54,38.99,26.1,170,25.13,2.38,14.73,6.25,102.8,2.09,38.8
