Country,Fertility,GNI,Imports,Inflations,Lifeexp,InfMort,Military,Exports,Internet,Cellphone,Urban,Debt,Femilit,Malillit,population,Agricult
Afghanistan,6.6,370,52.7,4.8,43.9,257,2.2,17.2,1.7,27.2,24.04,0.6,,,29021099,18.1
Albania,1.9,3840,59.4,2.5,76.6,14.2,2,31.2,23.9,99.9,46.72,2.764513231,1.3,0.7,3143291,19.6
Algeria,2.4,4190,23.5,10.8,72.4,41.1,3.1,47.5,11.9,92.7,65.22,,,,34373426,9.1
American Samoa,,,,,,,,,,,92.32,,,,66107.3979,12.1
Andorra,1.3,,,,,3.6,,,70.5,76.6,88.92,,,,83810.5,2.4
Angola,5.8,3340,50.8,23.9,47,220.1,2.9,75.6,3.1,37.6,56.7,2.436186778,43,17.2,18020668,30.8
Antigua and Barbuda,,13200,75.7,2.8,,12.3,,51.1,75,157.7,30.46,,,,86634,9.2
Argentina,2.2,7190,20.7,19.1,75.3,15.8,0.8,24.5,28.1,116.6,92,4.544288869,2.3,2.4,39882980,3.6
Armenia,1.7,3350,39.8,8.4,73.5,22.9,3.2,14.7,6.2,100,63.86,1.949571777,0.6,0.3,3077087,5
Aruba,1.7,,,,74.7,,,,22.8,114.6,46.78,,2,1.8,105455,8.5
Australia,2,40240,22.6,5,81.4,5.8,1.8,20.7,70.8,103.2,88.74,,,,21431800,2.1
Austria,1.4,45900,53.5,2.4,80.4,4.1,0.9,58.8,71.2,129.7,67.16,,,,8336926,1.9
Azerbaijan,2.3,3830,24.8,20.9,70.2,36.3,2.7,69.5,28.2,75.4,51.92,0.705107303,,,8680100,12
"Bahamas, The",2,,,,73.5,13.2,,,31.5,106,83.7,,,,337668,1.5
Bahrain,2.3,25420,74.3,11.5,75.9,12.2,2.7,96.8,51.9,185.8,88.52,,10.6,8.3,775585,0.4
Bangladesh,2.3,520,28.8,8.8,66.1,54.4,1.1,20.3,0.3,27.9,27.14,5.711155358,50.2,40,160000128,22.2
Barbados,1.5,,64.2,,77,11.3,,60,73.7,159.1,39.84,,,,255203,2
Belarus,1.4,5360,69.2,20.5,70.6,12.6,1.4,61.8,32.1,84,73.46,0.871512168,0.3,0.2,9680850,4.9
Belgium,1.8,44570,92.6,1.7,80.1,4.8,1.1,92.1,68.1,110.4,97.36,,,,10708433,0.6
Belize,2.9,3740,70,2.6,76.3,19.4,,62.1,10.6,49.7,51.7,10.81540947,,,322100,9.3
Benin,5.4,700,28.9,7.1,61.4,120.7,1,15.2,1.8,39.7,41.2,2.7,71.9,46.5,8662086,18.8
Bermuda,1.8,,,,79,,,,79.4,123.1,100,,,,64200,1.6
Bhutan,2.6,1900,51.1,3.7,66.1,81.2,,55.9,6.6,36.5,34.48,,,,686789,41.4
Bolivia,3.5,1460,38,10.4,65.7,54.2,1.5,44.9,10.8,49.8,65.58,4.7,,,9694113,19.7
Bosnia and Herzegovina,1.2,4520,69.5,7.8,75.1,14.6,1.4,36.8,34.7,84.3,47.44,2.147175151,4.1,0.6,3773100,1.4
Botswana,2.9,6640,38.8,17,54.2,31,3.4,46.2,6.2,77.3,59.58,1.067051825,16.5,16.9,1921122,15.7
Brazil,1.9,7300,14.2,5.9,72.4,21.8,1.5,14.3,37.5,78.5,85.58,8.854505856,,,191971506,6.1
Brunei Darussalam,2.1,,,,77.4,6.7,,,55.3,95.8,74.82,,6.7,3.4,392280,0.3
Bulgaria,1.5,5490,83.3,11.4,73.3,10.8,2.2,60.5,34.7,137.7,71.1,3.070614574,2.1,1.4,7623395,1.9
Burkina Faso,5.9,480,,5.1,53,168.7,1.8,,0.9,16.8,19.56,6.2,,,15233884,41.7
Burundi,4.6,140,,24.5,50.4,167.5,3.8,,0.8,6,10.4,2.8,40.1,27.7,8074254,44.9
Cambodia,2.9,640,,12.3,61,89.5,,,0.5,29.1,21.56,0.620339954,31.4,13.9,14562008,34.8
Cameroon,4.6,1150,29.2,1.7,51.1,131.1,1.5,29.6,3.8,32.3,56.76,0.7,32.2,16,19088385,18.9
Canada,1.6,43640,,3.9,81,6.4,1.3,,75.3,66.3,80.4,,,,33311400,1
Cape Verde,2.7,2800,59.4,6.5,71,28.7,0.6,21.7,20.6,55.7,59.62,4.17204671,20.7,10.4,498672,6.6
Cayman Islands,,,,,,,,,42.4,,100,,,,54248.044,9.2
Central African Republic,4.8,410,23.4,6.2,47,173.1,1.6,10.8,0.4,3.5,38.58,21.1,58.9,31.2,4339263,29.1
Chad,6.2,540,49.6,11.7,48.7,209,1,54.1,1.2,16.6,26.68,3.8,78.1,56.2,10913667,27.1
Channel Islands,1.4,,,,79.1,,,,,,31.12,,,,149581,0
Chile,1.9,9370,41,0.2,78.6,8.7,3.5,45.1,32.5,88.1,88.44,2.548187107,1.3,1.4,16803952,5.8
China,1.8,2940,28.5,7.2,73.1,20.5,2,36.6,22.5,48.4,43.1,0.625901773,9.5,3.3,1324655000,37.6
Colombia,2.4,4620,21.7,8.3,73,19.6,3.7,18.2,38.5,91.9,74.5,9.742444465,6.56,6.68,45012096,7.9
Comoros,4,750,36.9,5.5,65.3,105.1,,12.8,3.6,15.3,28.08,,32.2,20.7,643571.3128,39.9
"Congo, Dem. Rep.",6,150,38.6,19.4,47.6,198.6,1.4,23.3,,,33.96,2.2,43.9,22.5,64256635,21.9
"Congo, Rep.",4.4,1790,51.4,24.1,53.6,126.8,1.3,78.7,4.3,50,61.34,4.6,,,3615152,13.5
Costa Rica,2,6060,55.2,12.1,78.9,10.6,,45.8,32.3,41.7,63.26,7.286629792,3.8,4.3,4519126,7.2
Cote d'Ivoire,4.6,980,38.8,8.1,57.4,114,1.5,46.5,3.2,50.7,48.78,2.9,55.7,35.8,20591302,14.9
Croatia,1.5,13580,50.3,6.4,75.9,5.9,1.8,41.9,50.5,132.6,57.28,,2,0.5,4434000,2.2
Cuba,1.5,,,,78.7,5.9,,,12.9,3,75.66,,0.2,0.2,11204735,5.4
Cyprus,1.5,26940,58.5,4.8,79.7,4.1,3.7,47.1,38.8,117.9,69.9,,3.3,1,862434,2.9
Czech Republic,1.5,16650,72.5,1.8,77.2,3.8,1.5,77.1,57.8,132.2,73.5,,,,10424336,3.3
Denmark,1.9,58800,52.5,4.3,78.7,4.4,1.3,54.7,83.3,124.9,86.68,,,,5493621,1.5
Djibouti,3.9,1130,,3.1,55.4,94.9,4.1,,2.3,13.3,87.3,6.384765717,,,849245,31.9
Dominica,,4750,69.5,0.5,,11.4,,40.2,37.6,136.6,73.92,10.2708365,,,73193.41834,8.2
Dominican Republic,2.6,4330,39.1,9.8,72.6,32.6,0.6,25.9,21.6,72.4,69.02,9.925605041,,,9952711,4.9
East Asia & Pacific,1.9,2644,34.5,8,72.2,28.5,1.8,40.4,19.4,52.9,44.1347997,1.314631936,9.88,3.98,1929649609,0
