Country,CountryCode,Rural,Military,Cell,Fertility,Measles,InfMort,LifeExp,TotalGunDeathsaths per 100k,Gunsper100,logCO2,logGNI,logEnergyUse,logImports,logExports
Afghanistan,AFG,72.868,0.954642953,62.33541682,4.635,62,53.2,63.673,,,-0.917679218,6.363028104,,3.892329909,1.930977722
Albania,ALB,41.624,1.101507472,115.1522649,1.713,96,12,78.345,,,0.731773155,8.371010681,6.695126057,3.82310097,3.364651547
Algeria,DZA,28.696,6.424473865,115.8480539,2.776,94,21.6,76.078,,,1.339572156,8.380227336,7.186219619,3.563040791,3.044606172
American Samoa,ASM,12.852,,,,,,,,,,,,4.537587522,4.17508845
Andorra,AND,15.388,,92.04332242,,97,2.4,,,,1.780390074,,,,
Angola,AGO,55.181,2.96239158,45.12169884,5.694,49,54.6,61.547,,,0.330258913,8.14612951,6.300860087,3.38157844,3.401765125
Antigua and Barbuda,ATG,76.607,,178.2831334,2.051,98,5.1,76.364,,,1.700675911,9.514879561,,3.850779307,3.730515167
Argentina,ARG,8.107,0.813140098,145.3305063,2.293,90,9.9,76.577,6.36,10.2,1.578318168,9.387649387,7.608467294,2.60550656,2.532412846
Armenia,ARM,37.442,4.090349217,117.428481,1.612,97,11.9,74.618,,,0.694525685,8.23483028,6.925665175,3.755834002,3.500982532
Aruba,ABW,58.696,,,1.8,,,75.867,,,2.14104952,,,,
Australia,AUS,10.446,2.138763223,110.0520902,1.809,95,3.1,82.5,0.93,21.7,2.73891157,10.89914384,8.580773252,3.068910547,2.957668276
Austria,AUT,33.968,0.73864216,163.7944858,1.49,95,2.9,80.8902439,2.63,30.4,1.941596276,10.73313048,8.233058925,3.889883294,3.956266354
Azerbaijan,AZE,45.105,3.688527303,104.7671576,1.94,98,27.2,72.026,0.3,3.5,1.394153549,8.468002947,7.314604874,3.776195707,3.837895174
"Bahamas, The",BHS,17.049,,92.06813349,1.767,89,8.6,75.675,,,1.85992539,10.23458825,,3.629071199,3.578186074
Bahrain,BHR,11.165,4.682453486,210.140748,2.033,99,6.5,76.9,,,3.15911541,9.968807019,9.268042812,4.183379859,4.303610784
Bangladesh,BGD,64.965,1.468522885,83.44924467,2.104,94,28.2,72.489,,,-0.581351876,7.192934221,5.403672199,3.058922254,2.812393212
Barbados,BRB,68.585,,116.5658465,1.797,92,11.4,75.906,3.12,7.8,1.523918732,9.629708385,,3.833280314,3.594736057
Belarus,BLR,22.954,1.264152334,120.6731574,1.733,98,2.9,73.82682927,0.23,7.3,1.917210469,8.634086943,7.982252529,4.138361061,4.1353161
Belgium,BEL,2.103,0.922925653,110.4983466,1.7,96,3.1,80.99268293,1.82,17.2,2.131578468,10.66054806,8.457065455,4.401914147,4.418090637
Belize,BLZ,56.155,1.201035481,61.86061468,2.51,95,12.8,70.384,,,0.410519974,8.407378325,,4.102734741,3.905866302
Benin,BEN,55.605,0.928155526,81.7903446,4.977,74,63.1,60.907,,,-0.336572849,6.70930434,6.03259633,3.752052439,3.357114354
Bermuda,BMU,0,,,1.61,,,81.22707317,,,2.190347091,,,,
Bhutan,BTN,60.623,,87.54119321,2.051,97,26.8,70.197,,,0.328815406,7.828038032,,3.972048079,3.391752823
Bolivia,BOL,31.089,1.627932972,92.82077083,2.878,99,29.5,69.125,0.74,2.8,0.709226955,8.032684876,6.670518322,3.463014354,3.198183435
Bosnia and Herzegovina,BIH,60.06,0.972796604,96.793321,1.36,83,5.2,76.911,,,1.846045482,8.50512061,7.693507154,3.956855749,3.567001323
Botswana,BWA,42.29,3.287288915,146.1602659,2.73,97,32.6,66.797,,,1.206954645,8.818778169,7.133040526,3.738142571,4.009326068
Brazil,BRA,14.067,1.350150575,117.5362334,1.726,96,13.5,75.509,21.2,8,0.991171197,9.089302044,7.303120648,2.491523368,2.525298059
British Virgin Islands,VGB,53.498,,,,,,,,,1.820157984,,,,
Brunei Darussalam,BRN,22.495,3.539384639,123.6904413,1.874,98,8.5,77.203,,,3.101204339,10.40092394,9.063269232,3.63077417,3.903542691
Bulgaria,BGR,25.734,1.419315223,125.8343483,1.53,92,6.5,74.61463415,1.71,6.2,1.787017556,8.933268479,7.815067989,4.088749059,4.158550442
Burkina Faso,BFA,69.312,1.305175909,82.61118896,5.353,88,52.7,60.361,,,-1.339338998,6.413458957,,3.510716339,3.351468151
Burundi,BDI,87.641,2.207849268,50.90988631,5.697,93,48.4,57.481,,,-1.934576979,5.634789603,,3.463087347,1.831132559
Cabo Verde,CPV,33.813,0.620817347,111.5642375,2.334,92,18.2,72.798,,,0.032857469,8.019612794,,4.085640008,3.650174591
Cambodia,KHM,79.055,1.847569577,126.3484045,2.56,81,26.3,68.981,,,-0.620342919,7.038783541,6.032941513,4.18461942,4.11547841
Cameroon,CMR,45.062,1.202444386,79.85559142,4.708,78,52.8,58.073,,,-0.879650104,7.244227516,5.834409112,3.153302009,2.922273055
Canada,CAN,17.994,1.181229083,84.74001333,1.6,90,4.3,82.3005122,1.97,30.8,2.722423658,10.68921391,8.971587388,3.508083626,3.43295045
Cayman Islands,CYM,0,,157.4195672,,,,,,,2.226981637,,,,
Central African Republic,CAF,59.668,1.528904224,27.16972738,4.869,49,88.5,52.171,,,-1.792200902,5.940171253,,3.402040097,2.543886231
Chad,TCD,77.382,3.289847634,43.11357925,5.947,58,75.2,52.903,,,-1.872247305,6.579251212,,3.680616129,3.339027386
Channel Islands,CHI,68.423,,,1.478,,,81.107,,,,,,,
Chile,CHL,10.303,1.918483301,130.1112399,1.774,93,7.2,79.522,1.95,10.7,1.565982584,9.50524629,7.62544327,3.307953781,3.338738701
China,CHN,43.222,1.932012823,97.25213003,1.624,99,8.5,76.252,,,2.033908944,9.017968479,7.712770216,2.855057663,2.978503587
Colombia,COL,23.292,3.101108796,120.6182941,1.853,93,13.1,74.381,25.94,5.9,0.620327625,8.756210092,6.567492318,3.07768528,2.691772203
Comoros,COM,71.588,,57.11267331,4.347,99,55,63.701,,,-1.194636129,6.646390515,,3.778373252,2.768964144
"Congo, Dem. Rep.",COD,56.985,1.066108209,36.6912986,6.112,77,72,59.621,,,-1.811742664,6.131226489,5.965036862,3.477289594,3.303914677
"Congo, Rep.",COG,34.202,7.17024714,105.8171949,4.661,80,38.5,64.625,,,-0.307382466,7.43838353,6.290701388,4.374935322,4.044528758
Costa Rica,CRI,22.325,0,171.5090398,1.783,93,7.7,79.831,7.5,9.9,0.548671004,9.29007534,6.938421716,3.464616103,3.490151091
Cote d'Ivoire,CIV,45.131,1.657449417,115.8480074,4.911,77,66,53.582,,,-0.527283572,7.326465614,6.422927617,3.003740695,3.37959908
Croatia,HRV,40.716,1.367770673,104.7725932,1.4,90,4,78.02195122,2.68,21.7,1.404577429,9.416541203,7.548472027,3.832859392,3.89208491
Cuba,CUB,22.816,,34.74996737,1.722,99,4.2,79.742,,,1.145880859,,6.930171063,,
Curacao,CUW,10.759,,117.1129001,1.7,,,77.87317073,,,3.633004338,,9.445480511,,
Cyprus,CYP,33.16,1.572893282,133.4172747,1.343,90,2.1,80.508,1.87,36.4,1.679029652,10.10356716,7.445490038,4.181848128,4.169917479
Czech Republic,CZE,27.02,1.001060077,117.6619297,1.57,98,2.5,78.33170732,2.01,16.3,2.226349453,9.777357275,8.27259962,4.277466617,4.376273974
Denmark,DNK,12.153,1.170883104,122.2898105,1.71,94,3.7,80.70487805,1.28,12,1.797693906,10.95063109,7.962963613,3.858411857,3.981252252
Djibouti,DJI,22.57,,36.63736705,2.847,75,53.5,62.465,,,-0.114332026,7.517520851,,3.930558475,3.517905345
Dominica,DMA,30.18,,106.6641285,,96,31.2,,,,0.675128775,8.869257523,,3.988687677,3.878401358
Dominican Republic,DOM,20.159,0.663297901,81.77577154,2.422,85,25.5,73.861,,,0.774721008,8.762489547,6.599064591,3.364436107,3.21567785
Ecuador,ECU,36.024,2.548523246,84.72519003,2.486,86,17.8,76.327,,,1.051416614,8.665613197,6.793116991,2.952295586,2.979598373
"Egypt, Arab Rep.",EGY,56.778,1.666605152,102.1975013,3.265,95,19.4,71.484,,,0.832465653,8.13446757,6.703173462,2.979396723,2.336548157
El Salvador,SLV,32.811,1.033362534,151.8941098,2.079,90,12.9,73.512,45.6,5.8,0.095896029,8.276394705,6.472824711,3.78634576,3.327372593
Equatorial Guinea,GNQ,59.897,0.162044029,47.12686964,4.687,30,66.2,57.681,,,1.575636327,9.017968479,,3.717999156,3.937976224
Eritrea,ERI,,,10.21263885,4.133,93,32.9,65.092,,,,,,,
Estonia,EST,32.532,2.132874447,144.6098951,1.58,93,2.3,77.73658537,2.67,9.2,2.704632312,9.788637711,8.432205175,4.319106642,4.369211897
Ethiopia,ETH,80.078,0.665032956,50.02187627,4.198,70,41,65.475,,,-1.518117433,6.492239835,6.208216921,3.316304374,2.072922807
Faroe Islands,FRO,57.813,,110.9330782,2.6,,,82.24146341,,,2.512671657,,,,
Fiji,FJI,45.901,0.966990291,116.2362588,2.516,94,18.7,70.269,,,0.351061514,8.476371197,,3.943143313,3.273638821
Finland,FIN,15.642,1.431133645,133.8528678,1.65,94,1.9,81.7804878,3.25,27.5,2.170278235,10.71530626,8.734456732,3.604811704,3.584428946
France,FRA,20.25,2.327323645,104.4040167,1.96,90,3.2,82.27317073,2.83,31.2,1.541840242,10.56565993,8.204908463,3.433129813,3.406366103
French Polynesia,PYF,44.198,,99.96538286,2.013,,,76.813,,,1.103644545,,,,
Gabon,GAB,12.634,1.447548913,149.6366779,3.786,64,34.3,66.105,,,1.053707569,8.877660934,7.903161519,3.297145359,3.787094074
"Gambia, The",GMB,39.776,,139.2261765,5.425,97,42.2,61.193,,,-1.000528987,6.063785209,,3.735704412,3.133850546
